STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CAF,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,Central African Republic,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7.605380590067097,7.6214324697422065,7.634273973482294,7.6567466050274495,7.672798484702559,7.688850364377668,7.704902244052779,7.720954123727888,7.737006003402999,7.7530578830781085,7.769109762753218,7.785161642428329,7.801213522103438,7.817265401778549,7.870348967864136,7.888214709942535,7.906353333975409,7.924347491091206,7.94464669812835,7.963653728851648,7.937654499341873,7.9659860669684415,7.937140839192269,7.945359401585926,7.944381842113711,7.950855565186683,7.957791582394298,7.959122283219365,7.9701627660599055,7.954478474429355,8.034928890173038,7.993033484221003,7.997528010530034,7.9898231082859805,7.974573822594626,7.983402356415937,7.984044431602941,7.976179010562137,7.975215897781631,7.980031461684163,7.978747311310154,7.980191980480915,7.957398311342258,7.952101191049472,7.9487302963177,7.940543837683394,7.946643551959935,7.947927702333943,7.938136055732126,7.896882724967094,7.84808501075476,7.852258499470288,7.861408070885101,7.877780988153712,7.893511830235321,7.892709236251565,7.893993386625573,8.30203216796687,8.81890269350541,8.968666730874185,9.005265016533436,9.04218433978619,9.099489550226332
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COG,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,"Congo, Rep.",Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,30.88667642752562,30.888286969253294,30.894436310395314,30.880087847730604,30.873645680819912,30.872620790629572,30.872913616398247,30.87320644216691,30.88081991215227,30.885651537335285,30.89341142020498,30.89588286969253,30.907124450951684,30.911054172767205,30.916951683748167,30.930972181551976,30.928093704245974,30.79936749633968,30.800439238653,30.810907759882873,30.82269399707174,30.896339677891653,30.9090775988287,30.91566617862372,30.93367496339678,30.928225475841874,30.851338213762812,30.85822840409956,30.863402635431918,30.797472913616396,30.80513909224012,30.803994143484626,30.81931478770132,30.787317715959006,30.798497803806736,30.811121522693995,30.849232796486092,30.850884333821377,30.874568081991217,30.863666178623717,30.864989751098097,30.863335285505123,30.864313323572475,30.87344363103953,30.880392386530016,30.889519765739387,30.891423133235723,30.893048316251832,30.93181551976574,30.967508052708638,31.029619326500736,31.045411420204978,31.129733528550513,31.131525622254756,31.10814348462665,31.114076134699854,31.117475841874086,31.131762811127377,31.208784773060028,31.164568081991217,31.25212298682284,31.189751098096636,31.1900439238653
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,Armenia,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0958904109589,41.48226203020723,42.149631190727085,43.69511766772041,45.87284861257464,46.78609062170706,46.6455918510713,46.4699683877766,46.4699683877766,46.6455918510713,48.858447488584474,50.72005619950826,52.86266245170354,56.37513171759747,61.69301018616087,61.53494906919564,61.42606252195293,61.33825079030558,60.94134176325957,59.64524060414471,59.11485774499473,59.11485774499473,59.03407095187917,58.893572181243414,58.89708465050931,58.872497365648044,58.91464699683878,58.9041095890411,59.43808314309719,59.39690939738818,58.613420941389414,58.59336213768784
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TCA,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,Turks and Caicos Islands,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FCS,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,Fragile and conflict affected situations,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,27.3816272019148,27.433559529065334,27.48826749006683,27.526013071295704,27.53376331043766,27.533406902279488,27.56344115433911,27.6405298142086,27.713978196899713,27.70875035439632,27.759499548065257,27.847022398219515,27.87039674594584,27.86981452391048,27.90084624708153,27.97957471076013,28.009220440702716,28.04782902149647,28.122758118566104,28.221219349979023,28.232564742654123,28.280079585877164,28.352597440804583,28.391974940883483,28.454620252132514,28.544681100651314,28.547482497238935,28.594093023131812,28.596769964872024,28.773784165794464,28.946686980431842,30.57367582958879,30.950663305403477,31.132925640361794,31.3235502292508,31.443862002919598,31.519688302692906,31.571520964295786,31.656809609628226,31.77667885590606,31.90205920043329,31.97869037444832,32.16402043574844,31.993840160333228,32.36863073976489,32.46812026675596,32.634843316485714,32.63260682697249,32.76904372820682,32.998898012141815,33.198133151474664,36.123630713883664,36.268048129455124,36.361669240481476,36.43901474289019,36.563735449549824,36.67482523545208,36.781773708413525,36.823781929073995,36.90849556520922,37.003060902007576,37.082584726451785,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARE,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,United Arab Emirates,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.928752464094621,2.928752464094621,2.928752464094621,2.928752464094621,2.942833004787384,2.9569135454801465,2.9569135454801465,2.9569135454801465,2.9569135454801465,2.9850746268656714,2.9850746268656714,2.9850746268656714,2.9991551675584343,3.0132357082511967,3.0273162489439596,3.041396789636722,3.055477330329485,3.0695578710222473,3.08363841171501,3.13996057448606,3.1962827372571105,3.1962827372571105,3.2666854407209236,3.2666854407209236,3.3089270627992113,3.3511686848774995,3.3511686848774995,3.365249225570262,3.365249225570262,4.012954097437341,4.364967614756407,4.773303294846522,4.998591945930723,5.237961137707688,5.392847085328077,5.4491692480991265,5.561813573641228,5.604055195719516,7.265558997465503,7.702055758941144,7.913263869332582,7.969586032103633,7.800619543790481,7.800619543790481,7.8428611658687695,7.583779217121937,7.499295972965362,7.5978597578147,5.461841734722613,5.523796113770769,5.4702900591382715,5.304139678963672,5.342157138834131,5.385806814981695,5.390030977189524,5.404111517882287,5.404111517882287,5.3752464094621235,5.49704308645452,5.488594762038862,5.513397634469164,5.513397634469164,5.515399887355675
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,Albania,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,44.96350364963504,44.96350364963504,45.0,44.89051094890511,45.14598540145985,45.25547445255474,45.4014598540146,45.25547445255474,45.07299270072993,44.89051094890511,43.79562043795621,42.846715328467155,41.824817518248175,40.948905109489054,39.416058394160586,39.23357664233576,40.47445255474453,40.65693430656934,40.76642335766423,40.802919708029194,40.729927007299274,40.65693430656934,40.51094890510949,40.620437956204384,40.58394160583942,40.54744525547445,40.54744525547445,40.76642335766423,40.51094890510949,40.912408759124084,41.13138686131387,41.13138686131387,41.09489051094891,41.09489051094891,41.13138686131387,41.27737226277372,41.42335766423358,41.56934306569343,41.78832116788321,41.75182481751825,41.56934306569343,41.605839416058394,40.912408759124084,40.948905109489054,39.306569343065696,40.87591240875913,40.839416058394164,43.1021897810219,43.84306569343065,43.84306569343065,43.832116788321166,43.84306569343065,43.332116788321166,42.85729927007299,42.85766423357664,43.127737226277375,42.85697080291971,42.84967153284672,42.846715328467155,42.53850364963503,41.47189781021898,41.44525547445255,38.12408759124087
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYC,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,Seychelles,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,13.043478260869565,13.043478260869565,13.043478260869565,13.043478260869565,13.043478260869565,13.043478260869565,10.869565217391305,10.869565217391305,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,6.521739130434782,6.521739130434782,6.304347826086956,5.217391304347826,3.260869565217391,3.260869565217391,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304,3.369565217391304
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IBD,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,IBRD only,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34.50596669836113,34.65219593998807,34.78074844575232,34.903566326829186,35.064786033317354,35.23123190033633,35.38033177601959,35.56600325547904,35.737473851173554,35.93138372622751,36.18804722011607,36.449479754851325,36.69615157979587,36.9609370146859,37.162351477046116,37.12786386052106,37.41528999578691,37.68940156302331,37.93963540709583,38.12955401108361,38.242097446612874,38.50107823813124,38.83216137726649,39.18649593524816,39.55043346560069,39.732855016396,39.94992431559045,40.09919730543974,40.25783517237122,40.392604851445164,40.49902301621611,36.392530365860445,36.36313531303866,36.40657118196349,36.31089074593081,36.299006475118624,36.48361848924502,36.522108355852424,36.53907039786217,36.51866723558058,36.48199113728777,36.487171195948974,36.253112032135604,36.27819301174449,36.0395702934072,36.05229383047158,36.05837359735502,35.96668013330587,35.9459704848204,36.04154166860416,36.01911025408503,36.00971540162148,36.01924684241722,35.944889926589845,35.96939474189046,35.92548138334533,35.90235793175256,35.82402676898195,35.82696077568332,35.81624352738474,35.76919499201529,35.69022196914407,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCA,WB_WDI_AG_LND_AGRI_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Agricultural land (% of land area),0,WB_WDI,PU,A,Annual,St. Lucia,Agricultural land (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,27.86885245901639,27.86885245901639,29.508196721311474,29.508196721311474,29.508196721311474,29.508196721311474,31.147540983606557,31.147540983606557,31.147540983606557,31.147540983606557,32.78688524590164,32.78688524590164,32.78688524590164,32.622950819672134,32.78688524590164,32.78688524590164,32.78688524590164,32.78688524590164,33.114754098360656,33.60655737704918,34.0983606557377,34.42622950819672,34.75409836065574,35.24590163934426,35.73770491803279,34.75409836065574,34.42622950819672,34.42622950819672,34.42622950819672,34.26229508196722,32.459016393442624,32.295081967213115,32.295081967213115,31.967213114754102,29.508196721311474,28.524590163934427,27.86885245901639,25.40983606557377,25.245901639344265,23.278688524590162,22.78688524590164,21.475409836065573,20.327868852459016,18.19672131147541,17.868852459016395,16.557377049180328,16.278688524590166,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115,16.295081967213115
